Id,Dex,Name,Score,Votes,Sugimori,Icon
4,#005,Charmeleon,0,0,resources/sugimori/Starter9/5.png,resources/icon/Starter9/5.png
6,#007,Squirtle,0,0,resources/sugimori/Starter9/7.png,resources/icon/Starter9/7.png
8,#009,Blastoise,0,0,resources/sugimori/Starter9/9.png,resources/icon/Starter9/9.png
0,#001,Bulbasaur,0,1,resources/sugimori/Starter9/1.png,resources/icon/Starter9/1.png
2,#003,Venusaur,-1,1,resources/sugimori/Starter9/3.png,resources/icon/Starter9/3.png
5,#006,Charizard,0,3,resources/sugimori/Starter9/6.png,resources/icon/Starter9/6.png
7,#008,Wartortle,0,3,resources/sugimori/Starter9/8.png,resources/icon/Starter9/8.png
1,#002,Ivysaur,1,4,resources/sugimori/Starter9/2.png,resources/icon/Starter9/2.png
3,#004,Charmander,0,4,resources/sugimori/Starter9/4.png,resources/icon/Starter9/4.png
